RecCops,Poferta,Confoferta
BARRANQUILLA_3,1066.122,1.0
BARRANQUILLA_4,1176.625,1.0
CARTAGENA_1,1734.435,1.0
CARTAGENA_2,1732.356,1.0
CARTAGENA_3,1463.352,1.0
GECELCA_3,245.578,1.0
GECELCA_32,277.994,1.0
GUAJIRA_1,543.747,2.0
GUAJIRA_2,523.93,2.0
MERILECTRICA_1,977.63,1.0
PAIPA_1,243.593,1.0
PAIPA_2,226.099,1.0
PAIPA_3,234.303,1.0
PAIPA_4,249.198,1.0
PROELECTRICA_1,896.83,1.0
PROELECTRICA_2,896.83,1.0
TASAJERO_1,162.0,1.0
TASAJERO_2,170.0,1.0
TERMOCARIBE_III_1,890.0,2.0
TERMODORADA_1,2214.747,3.0
TERMONORTE,910.0,4.0
TERMOYOPAL_1,898.0,1.0
TERMOYOPAL_2,93.0,1.0
TERMOYOPAL_G3,93.0,1.0
TERMOYOPAL_G4,238.0,1.0
TERMOYOPAL_G5,94.5,1.0
TESORITO,853.121,1.0
VILLANUEVA,0.0,1.0
ZIPAEMG_2,374.0,1.0
ZIPAEMG_3,348.0,1.0
ZIPAEMG_4,362.0,1.0
ZIPAEMG_5,340.0,1.0
ALBAN,297.0,0.0
AMOYA_LA_ESPERANZA,102.043,0.0
BETANIA,395.0,0.0
CALIMA,500.0,0.0
CARLOS_LLERAS,89.0,0.0
CHIVOR,96.431,0.0
CUCUANA,96.433,0.0
DARIO_VALENCIA_SAMPER,102.6,0.0
EL_QUIMBO,390.0,0.0
ESCUELA_DE_MINAS,89.0,0.0
ESMERALDA,103.563,0.0
GUATAPE,96.431,0.0
GUATRON,340.0,0.0
GUAVIO,350.0,0.0
ITUANGO,96.431,0.0
JAGUAS,303.0,0.0
LA_TASAJERA,96.431,0.0
MIEL_I,390.0,0.0
PAGUA,96.431,0.0
PLAYAS,96.431,0.0
PORCE_II,96.431,0.0
PORCE_III,96.431,0.0
PRADO,306.0,0.0
SALTO_II,102.7,0.0
SALVAJINA,300.0,0.0
SAN_CARLOS,96.431,0.0
SAN_FRANCISCO,103.563,0.0
SAN_MIGUEL,96.431,0.0
SOGAMOSO,96.431,0.0
URRA,170.0,0.0
ALBAN,297.0,0.0
AMOYA_LA_ESPERANZA,102.043,0.0
BETANIA,395.0,0.0
CALIMA,500.0,0.0
CARLOS_LLERAS,89.0,0.0
CHIVOR,96.431,0.0
CUCUANA,96.433,0.0
DARIO_VALENCIA_SAMPER,102.6,0.0
EL_QUIMBO,390.0,0.0
ESCUELA_DE_MINAS,89.0,0.0
ESMERALDA,103.563,0.0
GUATAPE,96.431,0.0
GUATRON,340.0,0.0
GUAVIO,350.0,0.0
ITUANGO,96.431,0.0
JAGUAS,303.0,0.0
LA_TASAJERA,96.431,0.0
MIEL_I,390.0,0.0
PAGUA,96.431,0.0
PLAYAS,96.431,0.0
PORCE_II,96.431,0.0
PORCE_III,96.431,0.0
PRADO,306.0,0.0
SALTO_II,102.7,0.0
SALVAJINA,300.0,0.0
SAN_CARLOS,96.431,0.0
SAN_FRANCISCO,103.563,0.0
SAN_MIGUEL,96.431,0.0
SOGAMOSO,96.431,0.0
URRA,170.0,0.0
FLORES_I_CC,10002.0,1.0
FLORES_4_CC,10003.0,1.0
TEBSAB_CC,10000.0,1.0
TERMOCANDELARIA_CC,10001.0,1.0
TERMOCENTRO_CC,10004.0,1.0
TERMOEMCALI_CC,10005.0,1.0
TERMOSIERRA_CC,10006.0,1.0
TERMOVALLE_CC,10007.0,1.0
