,index,fecha,TipoDia
0,0,2025-03-24,F
1,0,2025-03-25,O
2,0,2025-03-26,O
3,0,2025-03-27,O
4,0,2025-03-28,O
5,0,2025-03-29,S
6,0,2025-03-30,F
7,0,2025-03-31,O
8,0,2025-04-01,O
9,0,2025-04-02,O
10,0,2025-04-03,O
11,0,2025-04-04,O
12,0,2025-04-05,S
13,0,2025-04-06,F
14,0,2025-04-07,O
15,0,2025-04-08,O
16,0,2025-04-09,O
17,0,2025-04-10,O
18,0,2025-04-11,O
19,0,2025-04-12,S
20,0,2025-04-13,F
21,0,2025-04-14,O
22,0,2025-04-15,O
23,0,2025-04-16,O
24,0,2025-04-17,F
25,0,2025-04-18,F
26,0,2025-04-19,S
27,0,2025-04-20,F
28,0,2025-04-21,O
29,0,2025-04-22,O
30,0,2025-04-23,O
31,0,2025-04-24,O
32,0,2025-04-25,O
33,0,2025-04-26,S
34,0,2025-04-27,F
35,0,2025-04-28,O
36,0,2025-04-29,O
37,0,2025-04-30,O
38,0,2025-05-01,F
39,0,2025-05-02,O
40,0,2025-05-03,S
41,0,2025-05-04,F
42,0,2025-05-05,O
43,0,2025-05-06,O
44,0,2025-05-07,O
45,0,2025-05-08,O
46,0,2025-05-09,O
47,0,2025-05-10,S
48,0,2025-05-11,F
49,0,2025-05-12,O
50,0,2025-05-13,O
51,0,2025-05-14,O
52,0,2025-05-15,O
53,0,2025-05-16,O
54,0,2025-05-17,S
55,0,2025-05-18,F
56,0,2025-05-19,O
57,0,2025-05-20,O
58,0,2025-05-21,O
59,0,2025-05-22,O
60,0,2025-05-23,O
61,0,2025-05-24,S
62,0,2025-05-25,F
63,0,2025-05-26,O
64,0,2025-05-27,O
65,0,2025-05-28,O
66,0,2025-05-29,O
67,0,2025-05-30,O
68,0,2025-05-31,S
69,0,2025-06-01,F
70,0,2025-06-02,F
71,0,2025-06-03,O
72,0,2025-06-04,O
73,0,2025-06-05,O
74,0,2025-06-06,O
75,0,2025-06-07,S
76,0,2025-06-08,F
